Ingredient,Calories,Protein,Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Carbohydrates,Fiber,Sugars,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Pantothenic Acid,Choline,Omega-3 Fatty Acids,Omega-6 Fatty Acids,Cholesterol,Menu Type,Day,Meal
1 cheeseburger,535.31,30.27,28.66,13.9957,11.8584,2.5154,39.24,2.39,7.16,356.21,2.0298,51.74,364.17,443.77,1176.09,5.6317,0.1493,0.3244,49.153,471.63,0.597,5.97,0.398,8.756,0.2368,0.5174,8.0595,0.1851,31.84,3.4825,1.1741,75.023,N/A,N/A,95.52,Fast Food,Day 2,Lunch - Cheeseburger with Green Salad
50 g green salad,11.75,0.73,0.12,0.0165,0.005,0.0565,2.48,0.98,1.08,22.0,0.5042,11.75,16.0833,141.9167,18.42,0.1292,0.0245,0.1511,0.2333,3651.3333,8.9167,0,0.2775,65.6,0.0326,0.0407,0.2447,0.0623,36.1667,0,0.071,6.2833,N/A,N/A,0.0,Fast Food,Day 2,Lunch - Cheeseburger with Green Salad
10 g olive oil,88.4,0.0,10.0,1.3808,7.2961,1.0523,0.0,0.0,0.0,0.1,0.056,0.0,0.0,0.1,0.2,0.0,0.0,0,0,0,0.0,0,1.435,6.02,0.0,0.0,0.0,0,0,0,0,0.03,N/A,N/A,0.0,Fast Food,Day 2,Lunch - Cheeseburger with Green Salad
250 g chips and salsa,589.5,10.31,24.36,3.3086,6.6342,12.6719,87.95,8.83,6.25,163.6897,2.3337,118.0234,306.567,578.9077,1330.37,1.8504,0.2012,0.6021,6.3345,619.0629,2.5322,0,5.8256,30.1222,0.2074,0.1243,2.432,0.4381,19.3356,0.4201,0.6118,39.6999,0.2684,0,0.0,Fast Food,Day 2,Supper - Chips and Salsa
1 burrito,433.8,16.94,16.39,6.5865,4.3452,3.7958,56.32,8.92,5.06,216.9,4.3862,55.43,315.71,491.64,1086.91,2.1208,0.2555,0.7182,25.787,667.57,3.133,7.23,0.6748,14.701,0.5133,0.5374,5.0369,0.2338,108.45,0.6507,0.8315,67.239,0.4868,0,28.92,Fast Food,Day 3,Breakfast - Burrito
1 small latte,188.54,12.16,7.36,4.6603,2.0519,0.322,18.58,0.0,18.54,440.8812,0.1503,87.7189,341.2489,581.1354,180.51,1.7884,0.0516,0.0809,9.1603,696.1852,0.8514,179.5425,0.1159,0.7921,0.1435,0.7828,3.4231,0.1404,18.9133,1.942,1.321,61.6327,0.0293,N/A,29.31,Fast Food,Day 3,Breakfast - Burrito
1 mini cinnamon roll,100.75,1.76,4.49,1.1753,2.3053,0.6038,13.35,0.55,4.5,13.5,0.6375,3.25,45.0,32.75,138.5,0.135,0.0175,0.1403,2.925,N/A,0.0,N/A,0.2775,3.475,0.0635,0.0758,0.79,0.011,N/A,0.0275,0.1268,6.825,0.032,N/A,5.25,Fast Food,Day 3,Snack
1 cup hot chocolate,150.92,2.52,1.51,0.9,0.5022,0.0439,31.67,1.37,24.78,57.624,0.4665,32.928,117.992,271.656,200.31,0.5762,0.1317,0.1015,1.9208,2.744,0.0,N/A,0.0823,0.2744,0.0357,0.214,0.2223,0.0439,2.744,0.1372,0.3375,12.6224,N/A,N/A,0.0,Fast Food,Day 3,Snack
1 whopper,678.03,31.25,37.36,12.3675,13.6334,9.862,53.98,5.24,12.28,113.49,12.7167,52.38,261.9,491.79,910.83,8.2353,0.0378,0.5238,52.962,N/A,0.582,N/A,0.4365,56.745,0.6257,0.5093,8.3604,0.2648,136.77,N/A,0.5034,N/A,0.8003,N/A,87.3,Fast Food,Day 3,Lunch - Whopper
140 g fried chicken,376.6,39.98,20.89,5.684,8.246,4.774,4.41,0.14,0.0,23.8,1.932,35.0,267.4,327.6,117.6,2.856,0.105,0.0476,30.38,124.6,0.0,8.4,0.882,3.36,0.1218,0.2702,12.5888,0.574,12.6,0.434,1.5106,111.72,N/A,N/A,126.0,Fast Food,Day 3,Supper - Fried Chicken with Fries
1 small fries,221.52,2.44,10.46,1.6586,4.238,3.8326,29.42,2.7,0.21,12.78,0.5751,24.85,88.75,411.09,149.1,0.355,0.088,0.1754,0.639,0,3.337,0,1.1857,7.952,0.1207,0.0277,2.1328,0.2641,21.3,0,0.4118,26.128,0.289,0.0007,0.0,Fast Food,Day 3,Supper - Fried Chicken with Fries
17 g ketchup,17.17,0.18,0.02,0.0024,0.0026,0.007,4.66,0.05,3.62,2.55,0.0595,2.21,4.42,47.77,154.19,0.0289,0.0145,0.0143,0.119,89.59,0.697,0,0.2482,0.51,0.0019,0.0282,0.2438,0.0269,1.53,0,0.008,2.125,N/A,N/A,0.0,Fast Food,Day 3,Supper - Fried Chicken with Fries
2 eggs,143.0,12.56,9.51,3.126,3.658,1.911,0.72,0.0,0.37,56.0,1.75,12,198,138,142.0,1.29,0.072,0.028,30.7,540.0,0,82,1.05,0.3,0.04,0.457,0.075,0.17,47,0.89,1.533,293.8,0.036,0.001,372.0,Omnivore,Day 4,Breakfast - Kimchi Pancakes
3 tbsp kimchi,4.22,0.31,0.14,0.0188,0.0104,0.0678,0.68,0.45,0.3,9.2813,0.7031,3.9375,6.75,42.4688,140.06,0.0619,0.0068,N/A,0.1406,26.1563,0,0,0.0309,12.2625,0.0028,0.0591,0.3094,0.0599,14.625,0,N/A,4.3594,N/A,N/A,0.0,Omnivore,Day 4,Breakfast - Kimchi Pancakes
3 tbsp chickpea flour,66.76,3.86,1.15,0.1195,0.2594,0.5146,9.97,1.86,1.87,7.7625,0.8384,28.635,54.855,145.935,11.04,0.4847,0.1573,0.276,1.4318,7.0725,0,0,0.1432,1.5698,0.0838,0.0183,0.304,0.0849,75.3825,0,0.1045,N/A,N/A,N/A,0.0,Omnivore,Day 4,Breakfast - Kimchi Pancakes
10 g ghee,87.6,0.03,9.95,6.1924,2.8732,0.3694,0.0,0.0,0.0,0.4,0.0,0,0.3,0.5,0.2,0.001,0.0001,0,0,306.9,0,0,0.28,0.86,0.0001,0.0005,0.0003,0.0001,0,0.001,0.001,2.23,N/A,N/A,25.6,Omnivore,Day 4,Breakfast - Kimchi Pancakes
50 g salmon,103.0,11.05,6.18,1.1985,2.0905,2.2765,0.0,0.0,0.0,7.5,0.17,15,126,192,30.5,0.215,0.0245,0.008,20.7,115.0,1.85,263,0.57,0.05,0.17,0.0675,4.0225,0.3235,17,1.4,0.7375,45.25,N/A,N/A,31.5,Omnivore,Day 4,Breakfast - Kimchi Pancakes
1 medium cucumber,30.15,1.31,0.22,0.0744,0.0101,0.0643,7.3,1.0,3.36,32.16,0.5628,26.13,48.24,295.47,4.02,0.402,0.0824,0.1588,0.603,211.05,5.628,0,0.0603,32.964,0.0543,0.0663,0.197,0.0804,14.07,0,0.5206,12.06,N/A,N/A,0.0,Omnivore,Day 4,Breakfast - Kimchi Pancakes
20 g sprouts,4.6,0.8,0.14,0.0138,0.0112,0.0818,0.42,0.38,0.04,6.4,0.192,5.4,14,15.8,1.2,0.184,0.0314,0.0376,0.12,31.0,1.64,0,0.004,6.1,0.0152,0.0252,0.0962,0.0068,7.2,0,0.1126,2.88,N/A,N/A,0.0,Omnivore,Day 4,Breakfast - Kimchi Pancakes
5 cherry tomatoes,15.3,0.75,0.17,0.0238,0.0264,0.0706,3.31,1.02,2.24,8.5,0.2295,9.35,20.4,201.45,4.25,0.1445,0.0502,0.0969,0,708.05,11.645,0,0.459,6.715,0.0315,0.0162,0.5049,0.068,12.75,0,0.0757,5.695,N/A,N/A,0.0,Omnivore,Day 4,Breakfast - Kimchi Pancakes
10 g raw almonds,57.9,2.12,4.99,0.3802,3.1551,1.2329,2.15,1.25,0.44,26.9,0.371,27,48.1,73.3,0.1,0.312,0.1031,0.2179,0.41,0.2,0,0,2.563,0,0.0205,0.1138,0.3618,0.0137,4.4,0,0.0471,5.21,0.0003,N/A,0.0,Omnivore,Day 4,Snack
15 g raw cashew,82.95,2.73,6.58,1.1675,3.5696,1.1768,4.53,0.5,0.89,5.55,1.002,43.8,88.95,99,1.8,0.867,0.3293,0.2483,2.985,0.0,0.075,0,0.135,5.115,0.0635,0.0087,0.1593,0.0626,3.75,0,0.1296,N/A,N/A,N/A,0.0,Omnivore,Day 4,Snack
400 g black currant,252.0,5.6,1.64,0.136,0.232,0.716,61.52,,,220.0,6.16,96,236,1288,8.0,1.08,0.344,1.024,N/A,920.0,724,N/A,4,N/A,0.2,0.2,1.2,0.264,N/A,0,1.592,N/A,N/A,N/A,0.0,Omnivore,Day 4,Snack
1/2 lemon,12.18,0.46,0.13,0.0164,0.0046,0.0374,3.91,1.18,1.05,10.92,0.252,3.36,6.72,57.96,0.84,0.0252,0.0155,0.0126,0.168,9.24,22.26,0,0.063,0,0.0168,0.0084,0.042,0.0336,4.62,0,0.0798,2.142,N/A,N/A,0.0,Omnivore,Day 4,Lunch - Spaghetti with Chili and Shrimp
2 fresh chiles,36.0,1.68,0.4,0.0378,0.0216,0.2151,7.93,1.35,4.77,12.6,0.927,20.7,38.7,289.8,8.1,0.234,0.1161,0.1683,0.45,856.8,129.33,0,0.621,12.6,0.0648,0.0774,1.1196,0.4554,20.7,0,0.1809,9.81,N/A,N/A,0.0,Omnivore,Day 4,Lunch - Spaghetti with Chili and Shrimp
1 clove garlic,4.47,0.19,0.02,0.0027,0.0003,0.0075,0.99,0.06,0.03,5.43,0.051,0.75,4.59,12.03,0.51,0.0348,0.009,0.0502,0.426,0.27,0.936,0,0.0024,0.051,0.006,0.0033,0.021,0.0371,0.09,0,0.0179,0.696,N/A,N/A,0.0,Omnivore,Day 4,Lunch - Spaghetti with Chili and Shrimp
200 g spaghetti,300.51,10.56,1.22,0.2244,0.1385,0.4568,60.48,2.59,2.16,20.58,2.673,44.12,153.09,180.63,9.62,1.154,0.246,0.7428,51.192,0.0,0,0,0.0891,0.081,0.7217,0.324,5.8134,0.115,191.97,0,0.3491,12.231,0.0194,N/A,0.0,Omnivore,Day 4,Lunch - Spaghetti with Chili and Shrimp
200 g prawns,238.0,45.56,3.4,1.042,0.722,1.18,3.04,0.0,0.0,182.0,0.64,74,612,340,1894.0,3.26,0.516,0.098,99,602.0,0,8,4.4,0.8,0.064,0.048,5.356,0.484,48,3.32,1.038,270.8,N/A,N/A,422.0,Omnivore,Day 4,Lunch - Spaghetti with Chili and Shrimp
100 ml tomato paste,90.34,4.76,0.52,0.1102,0.0738,0.1763,20.83,4.52,13.42,39.6632,3.2832,46.2738,91.4458,1117.1806,65.0,0.6941,0.4021,0.3327,5.8393,1680.178,24.1285,0,4.7376,12.56,0.0661,0.1686,3.389,0.238,13.2211,0,0.1565,42.4176,N/A,N/A,0.0,Omnivore,Day 4,Lunch - Spaghetti with Chili and Shrimp
1 tuna steak,184.28,41.32,0.84,0.2906,0.1956,0.2481,0.0,0.0,0.0,5.67,1.3041,59.535,472.0275,747.0225,76.55,0.6379,0.061,0.0184,153.3735,92.1375,0,116.235,0.4111,0.1418,0.19,0.1942,31.2842,1.4714,2.835,3.3311,0.4735,109.998,N/A,N/A,66.62,Omnivore,Day 4,Supper - Tuna Steak with Quinoa Salad and Baked Carrots
3 tbsp soy sauce,25.44,3.91,0.27,0.035,0.0422,0.1262,2.37,0.38,0.19,15.84,0.696,35.52,79.68,208.8,2636.64,0.4176,0.0206,0.4886,0.24,0.0,0,0,0,0,0.0158,0.0792,1.0541,0.071,6.72,0,0.1426,8.784,N/A,N/A,0.0,Omnivore,Day 4,Supper - Tuna Steak with Quinoa Salad and Baked Carrots
1 tbsp grated ginger,6.8,0.15,0.06,0.0173,0.0131,0.0131,1.51,0.17,0.14,1.36,0.051,3.655,2.89,35.275,1.11,0.0289,0.0192,0.0195,0.0595,0.0,0.425,0,0.0221,0.0085,0.0021,0.0029,0.0638,0.0136,0.935,0,0.0173,2.448,N/A,N/A,0.0,Omnivore,Day 4,Supper - Tuna Steak with Quinoa Salad and Baked Carrots
2 cloves garlic,8.94,0.38,0.03,0.0053,0.0007,0.0149,1.98,0.13,0.06,10.86,0.102,1.5,9.18,24.06,1.02,0.0696,0.0179,0.1003,0.852,0.54,1.872,0,0.0048,0.102,0.012,0.0066,0.042,0.0741,0.18,0,0.0358,1.392,N/A,N/A,0.0,Omnivore,Day 4,Supper - Tuna Steak with Quinoa Salad and Baked Carrots
juice of 1/2 lime,127.98,0.31,0.0,0,0,0,31.19,0.24,28.7,7.11,0.5925,11.85,16.59,289.14,144.57,0.0948,0.0308,N/A,0.237,40.29,60.198,0,0.1185,0,0.2252,0.0332,0.0853,0.0758,0,0,N/A,4.266,N/A,N/A,0.0,Omnivore,Day 4,Supper - Tuna Steak with Quinoa Salad and Baked Carrots
10 ml olive oil,80.71,0.0,9.13,1.2606,6.6611,0.9607,0.0,0.0,0.0,0.0913,0.0511,0,0,0.0913,0.18,0,0,0,0,0.0,0,0,1.3101,5.496,0,0,0,0,0,0,0,0.0274,N/A,N/A,0.0,Omnivore,Day 4,Supper - Tuna Steak with Quinoa Salad and Baked Carrots
75 g tricolor quinoa,90.0,3.3,1.44,0.1733,0.396,0.8085,15.98,2.1,0.65,12.75,1.1175,48,114,129,5.25,0.8175,0.144,0.4733,2.1,3.75,0,0,0.4725,0,0.0803,0.0825,0.309,0.0923,31.5,0,N/A,17.25,N/A,N/A,0.0,Omnivore,Day 4,Supper - Tuna Steak with Quinoa Salad and Baked Carrots
0.25 avocado,80.4,1.0,7.37,1.0683,4.924,0.9125,4.29,3.37,0.33,6.03,0.2764,14.5725,26.13,243.7125,3.52,0.3216,0.0955,0.0714,0.201,73.365,5.025,0,1.0402,10.5525,0.0337,0.0653,0.8734,0.1291,40.7025,0,0.698,7.1355,0.0558,N/A,0.0,Omnivore,Day 4,Supper - Tuna Steak with Quinoa Salad and Baked Carrots
a large bunch of cilantro,0.92,0.09,0.02,0.0006,0.011,0.0016,0.15,0.11,0.03,2.68,0.0708,1.04,1.92,20.84,1.84,0.02,0.009,0.017,0.036,269.92,1.08,0,0.1,12.4,0.0027,0.0065,0.0446,0.006,2.48,0,0.0228,0.512,N/A,N/A,0.0,Omnivore,Day 4,Supper - Tuna Steak with Quinoa Salad and Baked Carrots
0.1 g smoked salt,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.024,0.0003,0.001,0,0.008,38.76,0.0001,0,0.0001,0.0001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0.0,Omnivore,Day 4,Supper - Tuna Steak with Quinoa Salad and Baked Carrots
200 g carrots,70.0,1.52,0.36,0.06,0.012,0.178,16.44,6.0,6.9,60.0,0.68,20,60,470,116.0,0.4,0.034,0.31,1.4,34066.0,7.2,0,2.06,27.4,0.132,0.088,1.29,0.306,28,0,0.464,17.6,N/A,N/A,0.0,Omnivore,Day 4,Supper - Tuna Steak with Quinoa Salad and Baked Carrots
2 large zucchini,92.4,7.02,2.22,0.4435,0.1786,0.9302,16.57,6.16,10.53,110.88,2.2792,117.04,227.92,1626.24,18.48,2.0328,0.3203,1.0657,1.232,6880.72,79.464,0,0.7392,25.872,0.2156,0.1478,3.1416,0.4928,172.48,0,1.7741,57.904,N/A,N/A,0.0,Omnivore,Day 5,Breakfast - Zucchini Waffles
2 eggs,143.0,12.56,9.51,3.126,3.658,1.911,0.72,0.0,0.37,56.0,1.75,12,198,138,142.0,1.29,0.072,0.028,30.7,540.0,0,82,1.05,0.3,0.04,0.457,0.075,0.17,47,0.89,1.533,293.8,0.036,0.001,372.0,Omnivore,Day 5,Breakfast - Zucchini Waffles
50 g mozzarella,150.0,11.09,11.18,6.576,3.2865,0.3825,1.1,0.0,0.52,252.5,0.22,10,177,38,313.5,1.46,0.0055,0.015,8.5,338.0,0,8,0.095,1.15,0.015,0.1415,0.052,0.0185,3.5,1.14,0.0705,7.7,N/A,N/A,39.5,Omnivore,Day 5,Breakfast - Zucchini Waffles
3 tbsp corn starch,91.44,0.06,0.01,0.0022,0.0038,0.006,21.9,0.22,0.0,0.48,0.1128,0.72,3.12,0.72,2.16,0.0144,0.012,0.0127,0.672,0.0,0,0,0,0,0,0,0,0,0,0,0,0.096,N/A,N/A,0.0,Omnivore,Day 5,Breakfast - Zucchini Waffles
1/2 small onion,13.2,0.41,0.06,0.0093,0.0081,0.0219,3.05,0.42,1.42,6.6,0.072,3.3,10.5,49.8,0.9,0.063,0.0201,0.0459,0.18,0.6,1.56,0,0.006,0.15,0.0126,0.0069,0.0495,0.0387,4.5,0,0.0339,2.04,N/A,N/A,0.0,Omnivore,Day 5,Breakfast - Zucchini Waffles
10 g olive oil,88.4,0.0,10.0,1.3808,7.2961,1.0523,0.0,0.0,0.0,0.1,0.056,0,0,0.1,0.2,0,0,0,0,0.0,0,0,1.435,6.02,0,0,0,0,0,0,0,0.03,N/A,N/A,0.0,Omnivore,Day 5,Breakfast - Zucchini Waffles
60 g sardine,124.8,14.77,6.87,0.9168,2.3214,3.0888,0.0,0.0,0.0,229.2,1.752,23.4,294,238.2,184.2,0.786,0.1116,0.0648,31.62,64.8,0,115.8,1.224,1.56,0.048,0.1362,3.147,0.1002,6,5.364,0.3852,45,N/A,N/A,85.2,Omnivore,Day 5,Breakfast - Zucchini Waffles
10 g raw almonds,57.9,2.12,4.99,0.3802,3.1551,1.2329,2.15,1.25,0.44,26.9,0.371,27,48.1,73.3,0.1,0.312,0.1031,0.2179,0.41,0.2,0,0,2.563,0,0.0205,0.1138,0.3618,0.0137,4.4,0,0.0471,5.21,0.0003,N/A,0.0,Omnivore,Day 5,Snack
15 g raw cashew,82.95,2.73,6.58,1.1675,3.5696,1.1768,4.53,0.5,0.89,5.55,1.002,43.8,88.95,99,1.8,0.867,0.3293,0.2483,2.985,0.0,0.075,0,0.135,5.115,0.0635,0.0087,0.1593,0.0626,3.75,0,0.1296,N/A,N/A,N/A,0.0,Omnivore,Day 5,Snack
300 g fresh strawberries,96.0,2.01,0.9,0.045,0.129,0.465,23.04,6.0,14.67,48.0,1.23,39,72,459,3.0,0.42,0.144,1.158,1.2,36.0,176.4,0,0.87,6.6,0.072,0.066,1.158,0.141,72,0,0.375,17.1,N/A,N/A,0.0,Omnivore,Day 5,Snack
80 g dry pasta,296.8,10.43,1.21,0.2216,0.1368,0.4512,59.74,2.56,2.14,16.8,2.64,42.4,151.2,178.4,4.8,1.128,0.2312,0.7336,50.56,0.0,0,0,0.088,0.08,0.7128,0.32,5.7416,0.1136,189.6,0,0.3448,12.08,0.0192,N/A,0.0,Omnivore,Day 5,Lunch - Quick Pasta with Pollock Caviar
2 tbsp soy yogurt,26.65,0.67,0.33,0,N/A,N/A,5.17,0.17,3.67,49.896,0.1814,N/A,N/A,N/A,4.25,N/A,N/A,N/A,N/A,0.0,4.9896,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,Omnivore,Day 5,Lunch - Quick Pasta with Pollock Caviar
salt,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.36,0.005,0.015,0,0.12,581.37,0.0015,0.0005,0.0015,0.0015,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0.0,Omnivore,Day 5,Lunch - Quick Pasta with Pollock Caviar
5 ml olive oil,40.35,0.0,4.56,0.6303,3.3305,0.4804,0.0,0.0,0.0,0.0457,0.0256,0,0,0.0457,0.09,0,0,0,0,0.0,0,0,0.6551,2.748,0,0,0,0,0,0,0,0.0137,N/A,N/A,0.0,Omnivore,Day 5,Lunch - Quick Pasta with Pollock Caviar
13 tbsp caviar,549.12,51.17,37.23,8.4448,9.6325,15.4024,8.32,0.0,0.0,572.0,24.7104,624,740.48,376.48,3120.0,1.976,0.2288,0.104,136.24,1882.4,0,243.36,3.9312,1.248,0.3952,1.2896,0.2496,0.6656,104,41.6,7.28,1021.072,N/A,N/A,1223.04,Omnivore,Day 5,Lunch - Quick Pasta with Pollock Caviar
50 g green salad,11.75,0.73,0.12,0.0165,0.005,0.0565,2.48,0.98,1.08,22.0,0.5042,11.75,16.0833,141.9167,18.42,0.1292,0.0245,0.1511,0.2333,3651.3333,8.9167,0,0.2775,65.6,0.0326,0.0407,0.2447,0.0623,36.1667,0,0.071,6.2833,N/A,N/A,0.0,Omnivore,Day 5,Lunch - Quick Pasta with Pollock Caviar
1 large tomato,32.76,1.6,0.36,0.051,0.0564,0.1511,7.08,2.18,4.79,18.2,0.4914,20.02,43.68,431.34,9.1,0.3094,0.1074,0.2075,0,1516.06,24.934,0,0.9828,14.378,0.0673,0.0346,1.0811,0.1456,27.3,0,0.162,12.194,N/A,N/A,0.0,Omnivore,Day 5,Lunch - Quick Pasta with Pollock Caviar
1 wild salmon steak,467.62,50.17,28.03,5.4412,9.4909,10.3353,0.0,0.0,0.0,34.05,0.7718,68.1,572.04,871.68,138.47,0.9761,0.1112,0.0363,93.978,522.1,8.399,1194.02,2.5878,0.227,0.7718,0.3065,18.2622,1.4687,77.18,6.356,3.3483,205.435,N/A,N/A,143.01,Omnivore,Day 5,Supper - Wild Salmon Steaks with Vegetables
1/3 fennel bulb,8.9,0.36,0.06,0.0258,0.0195,0.0485,2.1,0.89,1.13,14.0679,0.2096,4.8807,14.355,118.8594,14.93,0.0574,0.019,0.0548,0.201,276.4773,3.4452,0,0.1665,18.0299,0.0029,0.0092,0.1837,0.0135,7.7517,0,0.0666,3.7897,N/A,N/A,0.0,Omnivore,Day 5,Supper - Wild Salmon Steaks with Vegetables
5 cherry tomatoes,15.3,0.75,0.17,0.0238,0.0264,0.0706,3.31,1.02,2.24,8.5,0.2295,9.35,20.4,201.45,4.25,0.1445,0.0502,0.0969,0,708.05,11.645,0,0.459,6.715,0.0315,0.0162,0.5049,0.068,12.75,0,0.0757,5.695,N/A,N/A,0.0,Omnivore,Day 5,Supper - Wild Salmon Steaks with Vegetables
1 leek,38.44,1.0,0.25,0.0335,0.0037,0.1376,9.45,1.24,2.62,37.2,1.364,17.36,21.08,107.88,12.4,0.0744,0.0769,0.3063,0.62,1006.88,5.208,0,0.62,31.496,0.0322,0.0248,0.248,0.1401,29.76,0,0.0893,N/A,N/A,N/A,0.0,Omnivore,Day 5,Supper - Wild Salmon Steaks with Vegetables
1 small potato,128.34,3.45,0.18,0.0469,0.0041,0.0787,29.19,3.04,1.63,20.7,1.4904,38.64,96.6,738.3,13.8,0.4968,0.1628,0.3022,0.552,13.8,13.248,0,0.0552,2.76,0.0883,0.0662,1.9458,0.4292,38.64,0,0.5189,20.424,N/A,N/A,0.0,Omnivore,Day 5,Supper - Wild Salmon Steaks with Vegetables
pinch sea salt,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0819,0.0011,0.0034,0,0.0273,132.18,0.0003,0.0001,0.0003,0.0003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0.0,Omnivore,Day 5,Supper - Wild Salmon Steaks with Vegetables
5 ml olive oil,40.35,0.0,4.56,0.6303,3.3305,0.4804,0.0,0.0,0.0,0.0457,0.0256,0,0,0.0457,0.09,0,0,0,0,0.0,0,0,0.6551,2.748,0,0,0,0,0,0,0,0.0137,N/A,N/A,0.0,Omnivore,Day 5,Supper - Wild Salmon Steaks with Vegetables
2 eggs,143.0,12.56,9.51,3.126,3.658,1.911,0.72,0.0,0.37,56.0,1.75,12,198,138,142.0,1.29,0.072,0.028,30.7,540.0,0,82,1.05,0.3,0.04,0.457,0.075,0.17,47,0.89,1.533,293.8,0.036,0.001,372.0,Omnivore,Day 6,Breakfast - Perfect Winter Scrambled Eggs
1 small cauliflower head,60.95,4.88,1.19,0.1855,0.0848,0.5751,10.89,6.1,5.51,42.4,0.848,23.85,84.8,376.3,39.75,0.4505,0.0477,0.3498,1.59,31.8,117.395,0,0.1855,36.57,0.1113,0.1378,1.0865,0.4585,116.6,0,1.3462,103.615,N/A,N/A,0.0,Omnivore,Day 6,Breakfast - Perfect Winter Scrambled Eggs
1/2 bunch green onions,2.4,0.14,0.01,0.0024,0.002,0.0056,0.55,0.2,0.17,5.4,0.111,1.5,2.775,20.7,1.2,0.0293,0.0062,0.012,0.045,74.775,1.41,0,0.0413,15.525,0.0041,0.006,0.0394,0.0046,4.8,0,0.0056,0.4275,N/A,N/A,0.0,Omnivore,Day 6,Breakfast - Perfect Winter Scrambled Eggs
1 asparagus shoot,3.3,0.36,0.03,0.0072,0,0.0158,0.62,0.3,0.2,3.45,0.1365,2.1,8.1,33.6,2.1,0.09,0.0248,0.0231,0.915,150.9,1.155,0,0.225,7.59,0.0243,0.0209,0.1626,0.0119,22.35,0,0.0338,3.915,N/A,N/A,0.0,Omnivore,Day 6,Breakfast - Perfect Winter Scrambled Eggs
1/3 chili,186.91,11.93,11.25,3.5719,3.9109,0.7936,9.66,0.79,1.74,47.52,3.1838,31.68,121.968,293.04,651.02,1.7741,0.2978,0.4372,10.296,429.264,2.8512,4.752,0.9346,3.4848,0.0491,0.1758,1.9721,0.2043,12.672,1.6157,0.2487,66.8448,N/A,N/A,33.26,Omnivore,Day 6,Breakfast - Perfect Winter Scrambled Eggs
5 large kale cabbage leaves,182.0,12.35,2.6,0.338,0.195,1.2545,36.6,13.0,8.13,468.0,5.85,117,182,1482,149.5,1.56,1.014,2.704,5.85,88536.5,266.5,0,5.525,5310.5,0.3445,0.455,3.25,0.897,84.5,0,0.3185,2.6,N/A,N/A,0.0,Omnivore,Day 6,Breakfast - Perfect Winter Scrambled Eggs
10 g butter,71.7,0.09,8.11,5.1368,2.1021,0.3043,0.01,0.0,0.01,2.4,0.002,0.2,2.4,2.4,64.3,0.009,0,0,0.1,249.9,0,0,0.232,0.7,0.0005,0.0034,0.0042,0.0003,0.3,0.017,0.011,1.88,0.0315,N/A,21.5,Omnivore,Day 6,Breakfast - Perfect Winter Scrambled Eggs
1 tbsp capers,1.98,0.2,0.07,0.02,0.0054,0.0261,0.42,0.28,0.04,3.44,0.1436,2.838,0.86,3.44,201.93,0.0275,0.0322,0.0067,0.1032,11.868,0.3698,0,0.0757,2.1156,0.0016,0.012,0.0561,0.002,1.978,0,0.0023,0.559,N/A,N/A,0.0,Omnivore,Day 6,Breakfast - Perfect Winter Scrambled Eggs
3 radish,2.16,0.09,0.01,0.0043,0.0023,0.0065,0.46,0.22,0.25,3.375,0.0459,1.35,2.7,31.455,5.27,0.0378,0.0068,0.0093,0.081,0.945,1.998,0,0,0.1755,0.0016,0.0053,0.0343,0.0096,3.375,0,0.0223,0.8775,N/A,N/A,0.0,Omnivore,Day 6,Breakfast - Perfect Winter Scrambled Eggs
1 slice whole wheat bread,80.64,3.98,1.12,0.231,0.1984,0.5094,13.67,1.92,1.39,51.52,0.7904,24,67.84,81.28,145.6,0.5664,0.0726,0.6957,8.224,0.96,0,0,0.8512,2.496,0.1261,0.0534,1.4202,0.0688,13.44,0,0.2067,8.704,0.0438,0.0003,0.0,Omnivore,Day 6,Breakfast - Perfect Winter Scrambled Eggs
15 g cheese,60.6,3.43,5.0,2.8301,1.3869,0.2132,0.46,0.0,0.07,106.5,0.021,4.05,68.25,11.4,97.95,0.546,0.0045,0.0041,4.275,186.3,0,3.6,0.1065,0.36,0.0044,0.0642,0.0089,0.0099,4.05,0.165,0.0615,2.475,N/A,N/A,14.85,Omnivore,Day 6,Breakfast - Perfect Winter Scrambled Eggs
20 g raw cashew,110.6,3.64,8.77,1.5566,4.7594,1.569,6.04,0.66,1.18,7.4,1.336,58.4,118.6,132,2.4,1.156,0.439,0.331,3.98,0.0,0.1,0,0.18,6.82,0.0846,0.0116,0.2124,0.0834,5,0,0.1728,N/A,N/A,N/A,0.0,Omnivore,Day 6,Snack
